pair,count,freq
еш,67,0.022921655833048237
еы,49,0.016763599042080055
шя,47,0.016079370509750255
ск,47,0.016079370509750255
до,46,0.01573725624358536
зо,45,0.015395141977420458
бж,35,0.011973999315771467
нш,35,0.011973999315771467
жу,34,0.011631885049606569
йк,33,0.01128977078344167
юп,33,0.01128977078344167
щж,32,0.01094765651727677
жш,32,0.01094765651727677
щк,31,0.010605542251111872
по,29,0.009921313718782073
мо,27,0.009237085186452275
шй,26,0.008894970920287376
му,25,0.008552856654122478
но,25,0.008552856654122478
юш,25,0.008552856654122478
тц,24,0.008210742387957578
иы,24,0.008210742387957578
кз,24,0.008210742387957578
оц,23,0.00786862812179268
бч,23,0.00786862812179268
вж,22,0.00752651385562778
яо,22,0.00752651385562778
жз,22,0.00752651385562778
тз,21,0.007184399589462881
ай,21,0.007184399589462881
ез,21,0.007184399589462881
мя,21,0.007184399589462881
лв,21,0.007184399589462881
ьо,20,0.006842285323297981
ан,20,0.006842285323297981
уя,19,0.006500171057133082
рэ,19,0.006500171057133082
вд,19,0.006500171057133082
хя,19,0.006500171057133082
рй,19,0.006500171057133082
лц,19,0.006500171057133082
юд,18,0.006158056790968184
йш,18,0.006158056790968184
вк,18,0.006158056790968184
ря,17,0.005815942524803284
фо,17,0.005815942524803284
щч,17,0.005815942524803284
ип,16,0.005473828258638385
уу,16,0.005473828258638385
ао,16,0.005473828258638385
рф,16,0.005473828258638385
эж,16,0.005473828258638385
со,16,0.005473828258638385
щп,15,0.005131713992473486
чф,15,0.005131713992473486
эы,15,0.005131713992473486
сш,15,0.005131713992473486
хз,15,0.005131713992473486
рз,14,0.004789599726308587
бз,14,0.004789599726308587
жд,14,0.004789599726308587
мы,14,0.004789599726308587
нз,14,0.004789599726308587
лы,14,0.004789599726308587
йс,13,0.004447485460143688
ый,13,0.004447485460143688
зб,13,0.004447485460143688
мз,13,0.004447485460143688
лз,13,0.004447485460143688
дб,13,0.004447485460143688
бя,13,0.004447485460143688
хп,13,0.004447485460143688
пм,13,0.004447485460143688
ек,13,0.004447485460143688
фш,12,0.004105371193978789
цп,12,0.004105371193978789
дв,12,0.004105371193978789
ьм,12,0.004105371193978789
шс,12,0.004105371193978789
яз,12,0.004105371193978789
лж,12,0.004105371193978789
ся,11,0.00376325692781389
гя,11,0.00376325692781389
пз,11,0.00376325692781389
гф,10,0.0034211426616489907
сй,10,0.0034211426616489907
ыя,10,0.0034211426616489907
чм,10,0.0034211426616489907
оп,10,0.0034211426616489907
аз,10,0.0034211426616489907
йэ,9,0.003079028395484092
що,9,0.003079028395484092
ра,9,0.003079028395484092
кц,9,0.003079028395484092
эз,9,0.003079028395484092
ях,9,0.003079028395484092
сж,9,0.003079028395484092
сч,9,0.003079028395484092
кы,9,0.003079028395484092
аб,9,0.003079028395484092
ал,9,0.003079028395484092
дж,9,0.003079028395484092
зх,9,0.003079028395484092
кк,8,0.0027369141293191925
ны,8,0.0027369141293191925
сщ,8,0.0027369141293191925
ыо,8,0.0027369141293191925
кж,8,0.0027369141293191925
во,8,0.0027369141293191925
хл,8,0.0027369141293191925
яд,8,0.0027369141293191925
ел,8,0.0027369141293191925
мк,8,0.0027369141293191925
ля,8,0.0027369141293191925
юн,8,0.0027369141293191925
