bigram,count,freq
рн,62,0.02536824877250409
ыч,41,0.016775777414075287
нк,34,0.013911620294599018
цз,32,0.01309328968903437
иа,30,0.012274959083469721
тч,28,0.011456628477905073
мп,27,0.01104746317512275
фт,27,0.01104746317512275
рч,26,0.010638297872340425
ты,26,0.010638297872340425
бц,26,0.010638297872340425
уч,26,0.010638297872340425
па,25,0.010229132569558102
шч,25,0.010229132569558102
от,24,0.009819967266775777
еэ,24,0.009819967266775777
бш,23,0.009410801963993453
фя,22,0.00900163666121113
бя,22,0.00900163666121113
зт,21,0.008592471358428805
яы,21,0.008592471358428805
шк,20,0.008183306055646482
кы,20,0.008183306055646482
эя,20,0.008183306055646482
ец,20,0.008183306055646482
ьы,19,0.007774140752864157
йв,19,0.007774140752864157
ин,19,0.007774140752864157
бй,19,0.007774140752864157
бч,19,0.007774140752864157
ья,19,0.007774140752864157
щз,18,0.007364975450081833
фэ,18,0.007364975450081833
вд,17,0.006955810147299509
за,17,0.006955810147299509
лч,17,0.006955810147299509
йд,17,0.006955810147299509
еч,17,0.006955810147299509
ач,16,0.006546644844517185
мн,16,0.006546644844517185
жк,16,0.006546644844517185
чн,16,0.006546644844517185
иц,16,0.006546644844517185
юч,16,0.006546644844517185
хы,16,0.006546644844517185
ыз,15,0.0061374795417348605
вя,15,0.0061374795417348605
яз,15,0.0061374795417348605
мэ,15,0.0061374795417348605
пн,14,0.0057283142389525366
ча,14,0.0057283142389525366
кк,14,0.0057283142389525366
щя,14,0.0057283142389525366
цц,14,0.0057283142389525366
нв,14,0.0057283142389525366
еп,13,0.005319148936170213
вс,13,0.005319148936170213
яж,13,0.005319148936170213
ся,13,0.005319148936170213
чя,13,0.005319148936170213
ьк,12,0.004909983633387889
фв,12,0.004909983633387889
йс,12,0.004909983633387889
фп,12,0.004909983633387889
хо,11,0.004500818330605565
гщ,11,0.004500818330605565
кя,11,0.004500818330605565
зе,11,0.004500818330605565
зщ,10,0.004091653027823241
нь,10,0.004091653027823241
йз,10,0.004091653027823241
йа,10,0.004091653027823241
ця,10,0.004091653027823241
оз,10,0.004091653027823241
як,9,0.0036824877250409165
йп,9,0.0036824877250409165
лж,9,0.0036824877250409165
оч,9,0.0036824877250409165
шх,9,0.0036824877250409165
кр,9,0.0036824877250409165
рц,9,0.0036824877250409165
це,9,0.0036824877250409165
тн,9,0.0036824877250409165
